id,order_id,flag_id,f_comment,user_id,created_at,updated_at
805391,1669965,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:44,2019-04-24 06:23:44
805392,1670094,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:44,2019-04-24 06:23:44
805393,1670336,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:44,2019-04-24 06:23:44
805394,1670356,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:45,2019-04-24 06:23:45
805395,1670692,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:45,2019-04-24 06:23:45
805396,1670695,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:46,2019-04-24 06:23:46
805397,1670847,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:46,2019-04-24 06:23:46
805398,1671276,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:47,2019-04-24 06:23:47
805399,1671286,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:47,2019-04-24 06:23:47
805400,1671736,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:48,2019-04-24 06:23:48
805401,1672159,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:48,2019-04-24 06:23:48
805402,1672384,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:48,2019-04-24 06:23:48
805403,1672427,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:49,2019-04-24 06:23:49
805404,1672451,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:49,2019-04-24 06:23:49
805405,1672552,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:50,2019-04-24 06:23:50
805406,1672594,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:50,2019-04-24 06:23:50
805407,1672794,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:51,2019-04-24 06:23:51
805408,1672860,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:51,2019-04-24 06:23:51
805409,1673038,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:51,2019-04-24 06:23:51
805410,1673049,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:52,2019-04-24 06:23:52
805411,1673111,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:52,2019-04-24 06:23:52
805412,1673461,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:53,2019-04-24 06:23:53
805413,1674092,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:53,2019-04-24 06:23:53
805414,1674154,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:54,2019-04-24 06:23:54
805415,1674200,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:54,2019-04-24 06:23:54
805416,1674258,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:55,2019-04-24 06:23:55
805417,1674964,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:55,2019-04-24 06:23:55
805418,1675101,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:55,2019-04-24 06:23:55
805419,1675700,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:56,2019-04-24 06:23:56
